time,open,high,low,close,tick_volume,spread,real_volume,hourly_time,time2,prev_hour_lsma_slope,prev_hour_macd_line,hour_lsma,fixed_support_gradient,fixed_resistance_gradient,prev_hour_lsma,fixed_support_trendline,fixed_resistance_trendline,ema_short,ema_long,lsma,macd_line,macd_signal,lsma_stddev,lsma_slope,prev_lsma_slope_1,prev_lsma_slope_2,lsma_upper_band,lsma_lower_band,stoch_k,stoch_d,is_buy2,is_sell2,tp,sl,be,be_condition
2024-05-29 19:00:00,67402.836,67421.938,67111.227,67231.836,2629,36421,0,2024-05-29 19:00:00,2024-05-29 19:00:00,-149.0856071428134,,67597.58432142861,-0.0012572962481406103,-0.0001012972262069485,67665.25895238093,66764.98033480917,68261.86571891065,67611.70307932512,67788.07370334947,67500.1406040591,-95.09790854495077,-78.13378374998581,218.31133150689618,-94.50573718613305,-67.61672170623206,-66.6059453044727,67794.8609015934,67203.92030652479,10.065077706893085,15.281952124139016,False,False,,,,
2024-05-29 19:15:00,67226.125,67560.234,67221.836,67373.641,2237,36421,0,2024-05-29 19:00:00,2024-05-29 19:00:00,-149.0856071428134,,67597.58432142861,-0.0012572962481406103,-0.0001012972262069485,67665.25895238093,66764.98033480917,68261.86571891065,67575.07814404432,67757.37498458284,67433.0925579635,-98.7169217835908,-82.25041135670682,230.47248404573736,-67.04804609560233,-94.50573718613305,-67.61672170623206,67744.23041142523,67120.45470450175,13.942445370370327,13.958817862664914,False,False,,,,
2024-05-29 19:30:00,67367.375,67633.039,67361.836,67625.445,1833,36421,0,2024-05-29 19:00:00,2024-05-29 19:00:00,-149.0856071428134,,67597.58432142861,-0.0012572962481406103,-0.0001012972262069485,67665.25895238093,66764.98033480917,68261.86571891065,67582.82689111443,67747.60239313226,67436.4067801857,-93.9518033007771,-84.59068974552088,226.35548666317283,3.3142222222086275,-67.04804609560233,-94.50573718613305,67743.48668718098,67130.82687319042,24.92514741334256,16.310890163535323,False,False,,,,
2024-05-29 19:45:00,67625.523,67748.234,67553.094,67579.148,1953,36421,0,2024-05-29 19:00:00,2024-05-29 19:00:00,-149.0856071428134,,67597.58432142861,-0.0012572962481406103,-0.0001012972262069485,67665.25895238093,66764.98033480917,68261.86571891065,67582.26090786606,67735.12428993727,67425.6775104919,-90.654177513381,-85.8033872990929,226.7595513196327,-10.729269693794777,3.3142222222086275,-67.04804609560233,67731.80290477342,67118.0521162104,39.337106679489956,26.068233154400946,False,False,,,,
2024-05-29 20:00:00,67570.789,67622.234,67463.125,67551.039,1520,36421,0,2024-05-29 20:00:00,2024-05-29 20:00:00,-67.67463095231506,,67574.06497619044,-0.0017557308368160189,-0.0012226760999566283,67597.58432142861,66510.91653988804,67636.04031844433,67577.45753742513,67721.48834253452,67409.69980392155,-88.09704794362187,-86.26211942799871,223.1980264354502,-15.977706570352893,-10.729269693794777,3.3142222222086275,67711.01713960941,67106.8824682337,48.74272810502964,37.668327399287385,False,False,,,,
2024-05-29 20:15:00,67550.984,67657.336,67445.641,67657.336,1180,36421,0,2024-05-29 20:00:00,2024-05-29 20:00:00,-67.67463095231506,,67574.06497619044,-0.0017557308368160189,-0.0012226760999566283,67597.58432142861,66510.91653988804,67636.04031844433,67589.74653166742,67716.73631716159,67427.93508599927,-82.34129060569103,-85.47795366353718,221.92155448069815,18.235282077715965,-15.977706570352893,-10.729269693794777,67729.02918454821,67128.34098745033,55.18836499796759,47.7560665941624,False,False,,,,
2024-05-29 20:30:00,67656.031,67715.836,67551.5,67553.234,1614,36421,0,2024-05-29 20:00:00,2024-05-29 20:00:00,-67.67463095231506,,67574.06497619044,-0.0017557308368160189,-0.0012226760999566283,67597.58432142861,66510.91653988804,67636.04031844433,67584.1292191032,67704.62503440888,67457.56931441349,-79.9324143101403,-84.3688457928578,220.13852637661753,29.634228414215613,18.235282077715965,-15.977706570352893,67756.25632502192,67160.38230380505,54.28717028446555,52.739421129154266,False,False,,,,
2024-05-29 20:45:00,67559.438,67678.039,67350.938,67640.336,1857,36421,0,2024-05-29 20:00:00,2024-05-29 20:00:00,-67.67463095231506,,67574.06497619044,-0.0017557308368160189,-0.0012226760999566283,67597.58432142861,66510.91653988804,67636.04031844433,67592.77641616424,67699.86288371192,67479.95050705198,-74.9021161411365,-82.47549986251354,216.94969902582218,22.381192638495122,29.634228414215613,18.235282077715965,67774.33260073685,67187.06841336712,60.18855644689075,56.55469724310797,False,False,,,,
2024-05-29 21:00:00,67640.336,67651.734,67452.633,67484.836,1802,36421,0,2024-05-29 21:00:00,2024-05-29 21:00:00,-23.519345238179085,,67509.57646428572,-0.0017786188226021483,-0.001890717974678328,67574.06497619044,66385.13843107657,67143.05550609053,67576.17019829282,67683.93496639992,67476.36652528381,-74.62159694991715,-80.90471927999428,220.17747563430302,-3.583981768169906,22.381192638495122,29.634228414215613,67773.60611739013,67177.6269331775,55.41388776728337,56.62987149954656,False,False,,,,
2024-05-29 21:15:00,67484.75,67575.938,67330.039,67355.734,1623,36421,0,2024-05-29 21:00:00,2024-05-29 21:00:00,-23.519345238179085,,67509.57646428572,-0.0017786188226021483,-0.001890717974678328,67574.06497619044,66385.13843107657,67143.05550609053,67542.256937017,67659.62378370363,67459.22148813216,-77.59955473161244,-80.24368637031793,221.20214158854716,-17.145037151654833,-3.583981768169906,22.381192638495122,67757.84437927669,67159.09859698762,48.994862740927566,54.865768985033895,False,False,,,,
